STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,TPCP
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19841001,533,2631
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19841101,382,1340
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19841201,500,710
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19850101,13,19
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19850201,757,1338
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19850301,95,185
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19850401,1493,3265
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19850501,393,2410
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19850601,97,362
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19850701,363,1101
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19850801,73,347
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19850901,67,241
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19851001,87,292
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19851101,1120,1517
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19851201,595,670
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19860101,67,67
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19860201,6,6
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19860301,56,220
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19860401,610,3245
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19860501,747,3722
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19860601,95,362
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19860701,87,202
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19860801,229,667
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19860901,83,250
